company_id,company_name,domain,website_url,phone_raw,phone_e164,phone_valid,phone_type,address,city,state,country,zip,categories,source_tags,rating,review_count,place_id,lat,lng,emails_found,primary_email,ai_outreach_line,lead_score,owner_name,enrichment_industry,enrichment_employee_count,enrichment_linkedin_url,linkedin_contacts,ai_email_pattern
c18f610738dcc77a,Tempe Roofing,,https://roofing-tempe.com/,+16232785831,+16232785831,True,mobile,"Tempe Roofing, 618 W 12th St, Tempe, AZ 85281","Tempe, AZ",Closed ⋅ Opens 8 AM,US,,['Roofing contractor'],['gmaps'],5.0,,ChIJOfcWTNIIK4cRgIX-5PgI_pQ,33.4162548,-111.94823059999999,[],,Loved how Tempe Roofing presents their product—quick question about boosting demo conversions.,40,,,,,,
77b66fb8e864d538,Ael Roofing Services Llc,,http://aelroofingservices.com/,+14807767232,+14807767232,True,mobile,"AEL Roofing Services LLC, 1021 E 3rd Ave, Mesa, AZ 85204","Mesa, AZ",Open 24 hours,US,,"['Roofing contractor', 'Gutter cleaning service', 'Gutter service', 'Skylight contractor']",['gmaps'],5.0,,ChIJJ3-wtTOnK4cRtsE_xdvvu84,33.4085876,-111.8086725,[],,Loved how Ael Roofing Services Llc presents their product—quick question about boosting demo conversions.,40,,,,,,
7e3dcaac928cada3,Roman Roofing Solutions,,https://roman-roofing.com/,+16026288905,+16026288905,True,mobile,"Roman Roofing Solutions, 1857 E Baseline Rd, Tempe, AZ 85283","Tempe, AZ",Closed ⋅ Opens 6 AM,US,,['Roofing contractor'],['gmaps'],4.7,,ChIJF7fgwDIGK4cRyrtBk-RSI0g,33.377375799999996,-111.90597249999999,[],,Loved how Roman Roofing Solutions presents their product—quick question about boosting demo conversions.,40,,,,,,
d7e6b16ed064ec19,Overson Roofing,,https://www.oversonroofing.com/?utm_source=google&utm_medium=gmb-mesa,+14806181198,+14806181198,True,mobile,"Overson Roofing, 842 E Isabella Ave Ste. 101, Mesa, AZ 85204","Mesa, AZ",Open 24 hours,US,,['Roofing contractor'],['gmaps'],4.8,,ChIJI-L6_F6oK4cR733OnhOrpqs,33.3852444,-111.8127956,[],,Loved how Overson Roofing presents their product—quick question about boosting demo conversions.,40,,,,,,
81db278fd74c4bc2,Energy Edge Roofing,,http://www.energyedgeroofing.com/,+14807700699,+14807700699,True,mobile,"ENERGY EDGE ROOFING, 910 W Carver Rd, Tempe, AZ 85284","Tempe, AZ",Open 24 hours,US,,['Roofing contractor'],['gmaps'],5.0,,ChIJO8nbnjwFK4cRIZPWkkO79G8,33.342886299999996,-111.952451,[],,Loved how Energy Edge Roofing presents their product—quick question about boosting demo conversions.,40,,,,,,
03890b34bbd5b85f,Shamrock Roofing Services,,https://www.shamrockroofingservices.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,+14808886648,+14808886648,True,mobile,"Shamrock Roofing Services, 201 E Southern Ave UNIT 215, Tempe, AZ 85282","Tempe, AZ",Closed ⋅ Opens 8 AM,US,,['Roofing contractor'],['gmaps'],4.4,,ChIJeXO7CQQGK4cRuKLN-R458rc,33.3923049,-111.9363453,[],,Loved how Shamrock Roofing Services presents their product—quick question about boosting demo conversions.,40,,,,,,
b128ddf7e724650c,Prospect Roof Company,,https://www.prospectroofco.com/,+16029207012,+16029207012,True,mobile,"Prospect Roof Company, 4675 E Cotton Center Blvd Ste 171, Phoenix, AZ 85040","Phoenix, AZ",Closed ⋅ Opens 7 AM,US,,['Roofing contractor'],['gmaps'],5.0,,ChIJG_8PhUjyYGsRd_RSCGeqGJE,33.4013975,-111.9803536,[],,Loved how Prospect Roof Company presents their product—quick question about boosting demo conversions.,40,,,,,,
0c44282e71b6ae51,Occidental Roofing,,http://occidentalroofing.com/,+14805257715,+14805257715,True,mobile,"Occidental Roofing, 1801 S Jentilly Ln C-20, Tempe, AZ 85281","Tempe, AZ",Closed ⋅ Opens 8 AM,US,,['Roofing contractor'],['gmaps'],4.6,,ChIJUQ6Nzl8JK4cRZO2QHSYJQX0,33.4085842,-111.9229522,[],,Loved how Occidental Roofing presents their product—quick question about boosting demo conversions.,40,,,,,,
9290f68663f54b5a,Frank Family Roofers,,,+14806187363,+14806187363,True,mobile,"Frank Family Roofers, 8111 E Thomas Rd #7610, Scottsdale, AZ 85251","Scottsdale, AZ",Open 24 hours,US,,['Roofing contractor'],['gmaps'],4.7,,ChIJp_9MLzcLK4cR6NsTxOOpQBw,33.479726,-111.90623049999999,[],,Loved how Frank Family Roofers presents their product—quick question about boosting demo conversions.,20,,,,,,
904bea9ddfd5ccc0,"Right Way Roofing, Inc.",,https://azroof.com/?utm_source=GMB&utm_medium=local&utm_campaign=mesa-az,+16024617258,+16024617258,True,mobile,"Right Way Roofing, Inc., 8255 E Willetta St, Mesa, AZ 85207","Mesa, AZ",Open 24 hours,US,,"['Roofing contractor', 'Contractor', 'General contractor', 'Skylight contractor']",['gmaps'],4.8,,ChIJt6e4AUGlK4cRZ-LjI00LZrY,33.4639582,-111.6521334,[],,"Loved how Right Way Roofing, Inc. presents their product—quick question about boosting demo conversions.",40,,,,,,
